size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange,inlineAsm,inlinePrefetch,alexandrescuLowerBound,alexandrescuUpperBound
1056,32.4941,24.2913,10.9443,12.6370,12.0524,25.6121,23.3190,37.3470,11.7271,11.6537,22.3796,9.1000,10.1226,7.9749,7.9736
1064,26.5087,24.4686,11.0116,12.7177,12.2531,25.2146,23.1281,37.1637,11.7271,11.6549,22.2427,9.0951,11.9178,8.0470,8.0641
1072,26.5220,25.9142,11.0079,12.7018,12.2823,25.6366,23.1306,37.6357,11.7307,11.6672,22.4028,9.0975,9.5317,8.4628,8.3809
1080,26.6505,24.2338,10.9639,12.7922,12.1442,25.6500,23.6442,37.5953,11.7369,11.6647,22.1533,9.1147,9.5586,9.0571,9.0400
1088,26.5710,24.3928,11.9508,12.7887,12.0989,25.5265,23.2272,37.2076,11.6610,11.5840,22.1179,9.0620,9.5146,8.5851,8.5569
1096,26.5195,24.4404,10.9517,12.7800,11.9913,25.5265,23.6687,37.4071,11.5461,11.4812,21.9344,9.0682,9.5341,8.6389,8.6194
1104,26.2762,24.0869,10.9456,12.7838,11.9839,26.3385,23.7361,38.0565,11.6084,11.5375,22.0446,9.2296,9.5941,11.5913,8.7159
1112,34.1049,36.1925,11.0262,12.7141,12.5195,25.5729,24.7793,37.2883,11.5594,11.4984,21.7498,9.1820,9.5305,9.1783,9.1281
1120,26.3606,24.4673,10.9651,12.6517,12.0095,24.9456,24.3646,36.5558,11.5509,11.4911,21.8562,9.0670,9.5195,9.3286,9.2749
1128,26.5734,26.0182,11.0507,12.6517,11.9656,25.3406,23.6650,36.6586,11.5986,11.5387,21.7253,9.1171,9.5673,9.0903,9.0585
1136,26.9354,24.8257,11.0776,12.6028,11.9301,25.8164,23.7861,40.1857,11.5925,11.5363,21.7670,9.2150,9.5856,9.0817,9.0695
1144,27.0186,24.9419,10.9614,12.6566,11.9839,26.2444,24.1531,37.7947,11.5938,11.5375,21.7827,9.1282,9.5708,10.0515,9.8999
1152,26.8706,24.8513,10.9504,12.6456,11.9606,25.4092,23.6810,38.0895,12.4719,11.4788,21.7853,9.1465,9.5746,9.5342,9.4987
